Date,claim,Department_code_,Department_,use_signature,Standards_Capacities,item_code,goods
3ŒŽ4“ú,possible,20,K,K,20,20,K
3ŒŽ5“ú,impossible,21,L,L,21,21,L
3ŒŽ6“ú,possible,22,M,M,22,22,M
3ŒŽ7“ú,impossible,23,N,N,23,23,N
3ŒŽ8“ú,possible,24,O,O,24,24,O
3ŒŽ9“ú,impossible,25,P,P,25,25,P
3ŒŽ10“ú,possible,26,Q,Q,26,26,Q
3ŒŽ11“ú,impossible,27,R,R,27,27,R
3ŒŽ12“ú,possible,28,S,S,28,28,S
3ŒŽ13“ú,impossible,29,T,T,29,29,T
3ŒŽ14“ú,possible,30,U,U,30,30,U
3ŒŽ15“ú,impossible,31,V,V,31,31,V
3ŒŽ16“ú,possible,32,W,W,32,32,W
3ŒŽ17“ú,impossible,33,X,X,33,33,X
3ŒŽ18“ú,possible,1,Y,Y,1,1,Y
3ŒŽ19“ú,impossible,2,Z,Z,2,2,Z
3ŒŽ20“ú,possible,3,AA,AA,3,3,AA
3ŒŽ21“ú,impossible,4,AB,AB,4,4,AB
3ŒŽ22“ú,possible,5,AC,AC,5,5,AC
3ŒŽ23“ú,impossible,6,AD,AD,6,6,AD
3ŒŽ24“ú,possible,7,AE,AE,7,7,AE
3ŒŽ25“ú,impossible,8,AF,AF,8,8,AF
3ŒŽ26“ú,possible,9,AG,AG,9,9,AG
3ŒŽ27“ú,impossible,10,AH,AH,10,10,AH
3ŒŽ28“ú,possible,11,AI,AI,11,11,AI
3ŒŽ29“ú,impossible,12,AJ,AJ,12,12,AJ
3ŒŽ30“ú,possible,13,AK,AK,13,13,AK
3ŒŽ31“ú,impossible,14,AL,AL,14,14,AL
4ŒŽ1“ú,possible,15,A,A,15,15,A
4ŒŽ2“ú,impossible,16,B,B,16,16,B
4ŒŽ3“ú,impossible,16,Z,Z,16,16,L
4ŒŽ4“ú,possible,17,AA,AA,17,17,M
4ŒŽ5“ú,impossible,18,AB,AB,18,18,N
4ŒŽ6“ú,possible,19,AC,AC,19,19,O
4ŒŽ7“ú,impossible,20,AD,AD,20,20,P
4ŒŽ8“ú,possible,21,AE,AE,21,21,Q
4ŒŽ9“ú,impossible,22,AF,AF,22,22,R
4ŒŽ10“ú,possible,23,AG,AG,23,23,S
4ŒŽ11“ú,impossible,24,AH,AH,24,24,T
4ŒŽ12“ú,possible,25,AI,AI,25,25,U
4ŒŽ13“ú,impossible,26,AJ,AJ,26,26,V
4ŒŽ14“ú,possible,27,AK,AK,27,27,W
4ŒŽ15“ú,impossible,28,AL,AL,28,28,X
4ŒŽ16“ú,possible,29,A,A,29,29,Y
4ŒŽ17“ú,impossible,30,B,B,30,30,Z
4ŒŽ18“ú,possible,31,Z,Z,31,31,AA
4ŒŽ19“ú,impossible,32,AA,AA,32,32,AB
4ŒŽ20“ú,possible,33,AB,AB,33,33,AC
4ŒŽ21“ú,impossible,1,AC,AC,1,1,AD
4ŒŽ22“ú,possible,2,AD,AD,2,2,AE
4ŒŽ23“ú,impossible,3,AE,AE,3,3,AF
4ŒŽ24“ú,possible,4,AF,AF,4,4,AG
4ŒŽ25“ú,impossible,5,AG,AG,5,5,AH
4ŒŽ26“ú,possible,6,AH,AH,6,6,AI
4ŒŽ27“ú,impossible,7,AI,AI,7,7,AJ
4ŒŽ28“ú,possible,8,AJ,AJ,8,8,AK
4ŒŽ29“ú,impossible,9,AK,AK,9,9,AL
4ŒŽ30“ú,possible,10,AL,AL,10,10,A
5ŒŽ1“ú,impossible,11,A,A,11,11,B
5ŒŽ2“ú,possible,12,B,B,12,12,C
5ŒŽ3“ú,impossible,13,Z,Z,13,13,D
5ŒŽ4“ú,possible,14,AA,AA,14,14,E
5ŒŽ5“ú,impossible,15,AB,AB,15,15,F
5ŒŽ6“ú,possible,16,AC,AC,16,16,G
5ŒŽ7“ú,impossible,17,AD,AD,17,17,H
5ŒŽ8“ú,possible,18,AE,AE,18,18,I
5ŒŽ9“ú,impossible,19,AF,AF,19,19,J
5ŒŽ10“ú,possible,20,AG,AG,20,20,K
5ŒŽ11“ú,impossible,21,AH,AH,21,21,L
5ŒŽ12“ú,possible,22,AI,AI,22,22,M
5ŒŽ13“ú,impossible,23,AJ,AJ,23,23,N
5ŒŽ14“ú,possible,24,AK,AK,24,24,O
5ŒŽ15“ú,impossible,25,AL,AL,25,25,P
5ŒŽ16“ú,possible,26,A,A,26,26,Q
5ŒŽ17“ú,impossible,27,B,B,27,27,R
5ŒŽ18“ú,possible,28,Z,Z,28,28,S
5ŒŽ19“ú,impossible,29,AA,AA,29,29,T
5ŒŽ20“ú,possible,30,AB,AB,30,30,U
5ŒŽ21“ú,impossible,31,AC,AC,31,31,V
5ŒŽ22“ú,possible,32,AD,AD,32,32,W
5ŒŽ23“ú,impossible,33,AE,AE,33,33,X
5ŒŽ24“ú,possible,1,AF,AF,1,1,Y
5ŒŽ25“ú,impossible,2,AG,AG,2,2,Z
5ŒŽ26“ú,possible,3,AH,AH,3,3,AA
5ŒŽ27“ú,impossible,4,AI,AI,4,4,AB
5ŒŽ28“ú,possible,5,AJ,AJ,5,5,AC
5ŒŽ29“ú,impossible,6,AK,AK,6,6,AD
5ŒŽ30“ú,possible,7,AL,AL,7,7,AE
5ŒŽ31“ú,impossible,8,A,A,8,8,AF
6ŒŽ1“ú,possible,9,B,B,9,9,AG
6ŒŽ2“ú,impossible,10,Z,Z,10,10,AH
6ŒŽ3“ú,possible,11,AA,AA,11,11,AI
6ŒŽ4“ú,impossible,12,AB,AB,12,12,AJ
6ŒŽ5“ú,possible,13,AC,AC,13,13,AK
6ŒŽ6“ú,impossible,14,AD,AD,14,14,AL
6ŒŽ7“ú,possible,15,AE,AE,15,15,A
6ŒŽ8“ú,impossible,16,AF,AF,16,16,B
6ŒŽ9“ú,impossible,1,A,A,1,1,A
6ŒŽ10“ú,possible,2,B,B,2,2,B
6ŒŽ11“ú,impossible,3,C,C,3,3,C
6ŒŽ12“ú,possible,1,D,D,1,1,D
6ŒŽ13“ú,impossible,2,E,E,2,2,E
6ŒŽ14“ú,possible,3,F,F,3,3,F
6ŒŽ15“ú,impossible,1,G,G,1,1,G
6ŒŽ16“ú,possible,2,H,H,2,2,H
6ŒŽ17“ú,impossible,3,I,I,3,3,I
6ŒŽ18“ú,possible,1,J,J,1,1,J
6ŒŽ19“ú,impossible,2,K,K,2,2,K
6ŒŽ20“ú,possible,3,L,L,3,3,L
6ŒŽ21“ú,impossible,1,M,M,1,1,M
6ŒŽ22“ú,possible,2,N,N,2,2,N
6ŒŽ23“ú,impossible,3,O,O,3,3,O
6ŒŽ24“ú,possible,1,P,P,1,1,P
6ŒŽ25“ú,impossible,2,Q,Q,2,2,Q
6ŒŽ26“ú,possible,3,R,R,3,3,R
6ŒŽ27“ú,impossible,1,S,S,1,1,S
6ŒŽ28“ú,possible,2,T,T,2,2,T
6ŒŽ29“ú,impossible,3,U,U,3,3,U
6ŒŽ30“ú,possible,1,V,V,1,1,V
7ŒŽ1“ú,impossible,2,W,W,2,2,W
7ŒŽ2“ú,possible,3,X,X,3,3,X
7ŒŽ3“ú,impossible,1,Y,Y,1,1,Y
7ŒŽ4“ú,possible,2,Z,Z,2,2,Z
7ŒŽ5“ú,impossible,3,AA,AA,3,3,AA
7ŒŽ6“ú,possible,1,AB,AB,1,1,AB
7ŒŽ7“ú,impossible,2,AC,AC,2,2,AC
7ŒŽ8“ú,possible,3,AD,AD,3,3,AD
7ŒŽ9“ú,impossible,1,AE,AE,1,1,AE
7ŒŽ10“ú,possible,2,AF,AF,2,2,AF
7ŒŽ11“ú,impossible,3,AG,AG,3,3,AG
7ŒŽ12“ú,possible,1,AH,AH,1,1,AH
7ŒŽ13“ú,impossible,2,AI,AI,2,2,AI
7ŒŽ14“ú,possible,3,AJ,AJ,3,3,AJ
7ŒŽ15“ú,impossible,1,AK,AK,1,1,AK
7ŒŽ16“ú,possible,2,AL,AL,2,2,AL
7ŒŽ17“ú,impossible,3,A,A,3,3,A
7ŒŽ18“ú,possible,1,B,B,1,1,B
7ŒŽ19“ú,impossible,2,C,C,2,2,C
7ŒŽ20“ú,possible,3,D,D,3,3,D
7ŒŽ21“ú,impossible,1,E,E,1,1,E
7ŒŽ22“ú,possible,2,F,F,2,2,F
7ŒŽ23“ú,impossible,3,G,G,3,3,G
7ŒŽ24“ú,possible,1,H,H,1,1,H
7ŒŽ25“ú,impossible,2,I,I,2,2,I
7ŒŽ26“ú,possible,3,J,J,3,3,J
7ŒŽ27“ú,impossible,1,K,K,1,1,K
7ŒŽ28“ú,possible,2,L,L,2,2,L
7ŒŽ29“ú,impossible,3,M,M,3,3,M
7ŒŽ30“ú,possible,1,N,N,1,1,N
7ŒŽ31“ú,impossible,2,O,O,2,2,O
8ŒŽ1“ú,possible,3,P,P,3,3,P
8ŒŽ2“ú,impossible,1,Q,Q,1,1,Q
8ŒŽ3“ú,possible,2,R,R,2,2,R
8ŒŽ4“ú,impossible,3,S,S,3,3,S
8ŒŽ5“ú,possible,1,T,T,1,1,T
8ŒŽ6“ú,impossible,2,U,U,2,2,U
8ŒŽ7“ú,possible,3,V,V,3,3,V
8ŒŽ8“ú,impossible,1,W,W,1,1,W
8ŒŽ9“ú,possible,2,X,X,2,2,X
8ŒŽ10“ú,impossible,3,Y,Y,3,3,Y
8ŒŽ11“ú,possible,1,Z,Z,1,1,Z
8ŒŽ12“ú,impossible,2,AA,AA,2,2,AA
8ŒŽ13“ú,possible,3,AB,AB,3,3,AB
8ŒŽ14“ú,impossible,1,AC,AC,1,1,AC
8ŒŽ15“ú,possible,2,AD,AD,2,2,AD
8ŒŽ16“ú,impossible,3,AE,AE,3,3,AE
8ŒŽ17“ú,possible,1,AF,AF,1,1,AF
8ŒŽ18“ú,impossible,2,AG,AG,2,2,AG
8ŒŽ19“ú,possible,3,AH,AH,3,3,AH
8ŒŽ20“ú,impossible,1,AI,AI,1,1,AI
8ŒŽ21“ú,possible,2,AJ,AJ,2,2,AJ
8ŒŽ22“ú,impossible,3,AK,AK,3,3,AK
8ŒŽ23“ú,possible,1,AL,AL,1,1,AL
8ŒŽ24“ú,impossible,2,A,A,2,2,A
8ŒŽ25“ú,possible,3,B,B,3,3,B
8ŒŽ26“ú,impossible,1,C,C,1,1,C
8ŒŽ27“ú,possible,2,D,D,2,2,D
8ŒŽ28“ú,impossible,3,E,E,3,3,E
8ŒŽ29“ú,possible,1,F,F,1,1,F
8ŒŽ30“ú,impossible,2,G,G,2,2,G
8ŒŽ31“ú,possible,3,H,H,3,3,H
9ŒŽ1“ú,impossible,1,I,I,1,1,I
9ŒŽ2“ú,possible,2,J,J,2,2,J
9ŒŽ3“ú,impossible,3,K,K,3,3,K
9ŒŽ4“ú,possible,1,L,L,1,1,L
9ŒŽ5“ú,impossible,2,M,M,2,2,M
9ŒŽ6“ú,possible,3,N,N,3,3,N
9ŒŽ7“ú,impossible,1,O,O,1,1,O
9ŒŽ8“ú,possible,2,P,P,2,2,P
9ŒŽ9“ú,impossible,3,Q,Q,3,3,Q
9ŒŽ10“ú,possible,1,R,R,1,1,R
9ŒŽ11“ú,impossible,2,S,S,2,2,S
9ŒŽ12“ú,possible,3,T,T,3,3,T
9ŒŽ13“ú,impossible,1,U,U,1,1,U
9ŒŽ14“ú,possible,2,V,V,2,2,V
9ŒŽ15“ú,impossible,3,W,W,3,3,W
9ŒŽ16“ú,possible,1,X,X,1,1,X
9ŒŽ17“ú,impossible,2,Y,Y,2,2,Y
9ŒŽ18“ú,possible,3,Z,Z,3,3,Z
9ŒŽ19“ú,impossible,1,AA,AA,1,1,AA
9ŒŽ20“ú,possible,2,AB,AB,2,2,AB
9ŒŽ21“ú,impossible,3,AC,AC,3,3,AC
9ŒŽ22“ú,possible,1,AD,AD,1,1,AD
9ŒŽ23“ú,impossible,2,AE,AE,2,2,AE
9ŒŽ24“ú,possible,3,AF,AF,3,3,AF
9ŒŽ25“ú,impossible,1,AG,AG,1,1,AG
9ŒŽ26“ú,possible,2,AH,AH,2,2,AH
9ŒŽ27“ú,impossible,3,AI,AI,3,3,AI
9ŒŽ28“ú,possible,1,AJ,AJ,1,1,AJ
9ŒŽ29“ú,impossible,2,AK,AK,2,2,AK
9ŒŽ30“ú,possible,3,AL,AL,3,3,AL
10ŒŽ1“ú,impossible,1,A,A,1,1,A
10ŒŽ2“ú,impossible,1,B,B,1,1,B
10ŒŽ3“ú,possible,2,C,C,2,2,C
10ŒŽ4“ú,impossible,3,D,D,3,3,D
10ŒŽ5“ú,possible,4,E,E,4,4,E
10ŒŽ6“ú,impossible,5,F,F,5,5,F
10ŒŽ7“ú,possible,6,G,G,6,6,G
10ŒŽ8“ú,impossible,7,H,H,7,7,H
10ŒŽ9“ú,possible,8,I,I,8,8,I
10ŒŽ10“ú,impossible,9,J,J,9,9,J
10ŒŽ11“ú,possible,10,K,K,10,10,K
10ŒŽ12“ú,impossible,11,L,L,11,11,L
10ŒŽ13“ú,possible,12,M,M,12,12,M
10ŒŽ14“ú,impossible,13,N,N,13,13,N
10ŒŽ15“ú,possible,14,O,O,14,14,O
10ŒŽ16“ú,impossible,15,P,P,15,15,P
10ŒŽ17“ú,possible,16,Q,Q,16,16,Q
10ŒŽ18“ú,impossible,17,R,R,17,17,R
10ŒŽ19“ú,possible,18,S,S,18,18,S
10ŒŽ20“ú,impossible,19,T,T,19,19,T
10ŒŽ21“ú,possible,20,U,U,20,20,U
10ŒŽ22“ú,impossible,21,V,V,21,21,V
10ŒŽ23“ú,possible,22,W,W,22,22,W
10ŒŽ24“ú,impossible,23,X,X,23,23,X
10ŒŽ25“ú,possible,24,Y,Y,24,24,Y
10ŒŽ26“ú,impossible,25,Z,Z,25,25,Z
10ŒŽ27“ú,possible,26,AA,AA,26,26,AA
10ŒŽ28“ú,impossible,27,AB,AB,27,27,AB
10ŒŽ29“ú,possible,28,AC,AC,28,28,AC
10ŒŽ30“ú,impossible,29,AD,AD,29,29,AD
10ŒŽ31“ú,possible,30,AE,AE,30,30,AE
11ŒŽ1“ú,impossible,31,AF,AF,31,31,AF
11ŒŽ2“ú,possible,32,AG,AG,32,32,AG
11ŒŽ3“ú,impossible,33,AH,AH,33,33,AH
11ŒŽ4“ú,possible,1,AI,AI,1,1,AI
11ŒŽ5“ú,impossible,2,AJ,AJ,2,2,AJ
11ŒŽ6“ú,possible,3,AK,AK,3,3,AK
11ŒŽ7“ú,impossible,4,AL,AL,4,4,AL
11ŒŽ8“ú,possible,5,A,A,5,5,A
11ŒŽ9“ú,impossible,6,B,B,6,6,B
11ŒŽ10“ú,possible,7,C,C,7,7,C
11ŒŽ11“ú,impossible,8,D,D,8,8,D
11ŒŽ12“ú,possible,9,E,E,9,9,E
11ŒŽ13“ú,impossible,10,F,F,10,10,F
11ŒŽ14“ú,possible,11,G,G,11,11,G
11ŒŽ15“ú,impossible,12,H,H,12,12,H
11ŒŽ16“ú,possible,13,I,I,13,13,I
11ŒŽ17“ú,impossible,14,J,J,14,14,J
11ŒŽ18“ú,possible,15,K,K,15,15,K
11ŒŽ19“ú,impossible,16,L,L,16,16,L
11ŒŽ20“ú,possible,17,M,M,17,17,M
11ŒŽ21“ú,impossible,18,N,N,18,18,N
11ŒŽ22“ú,possible,19,O,O,19,19,O
11ŒŽ23“ú,impossible,20,P,P,20,20,P
11ŒŽ24“ú,possible,21,Q,Q,21,21,Q
11ŒŽ25“ú,impossible,22,R,R,22,22,R
11ŒŽ26“ú,possible,23,S,S,23,23,S
11ŒŽ27“ú,impossible,24,T,T,24,24,T
11ŒŽ28“ú,possible,25,U,U,25,25,U
11ŒŽ29“ú,impossible,26,V,V,26,26,V
11ŒŽ30“ú,possible,27,W,W,27,27,W
12ŒŽ1“ú,impossible,28,X,X,28,28,X
12ŒŽ2“ú,possible,29,Y,Y,29,29,Y
12ŒŽ3“ú,impossible,30,Z,Z,30,30,Z
12ŒŽ4“ú,possible,31,AA,AA,31,31,AA
12ŒŽ5“ú,impossible,32,AB,AB,32,32,AB
12ŒŽ6“ú,possible,33,AC,AC,33,33,AC
12ŒŽ7“ú,impossible,1,AD,AD,1,1,AD
12ŒŽ8“ú,possible,2,AE,AE,2,2,AE
12ŒŽ9“ú,impossible,3,AF,AF,3,3,AF
12ŒŽ10“ú,possible,4,AG,AG,4,4,AG
12ŒŽ11“ú,impossible,5,AH,AH,5,5,AH
12ŒŽ12“ú,possible,6,AI,AI,6,6,AI
12ŒŽ13“ú,impossible,7,AJ,AJ,7,7,AJ
12ŒŽ14“ú,possible,8,AK,AK,8,8,AK
12ŒŽ15“ú,impossible,9,AL,AL,9,9,AL
12ŒŽ16“ú,possible,10,A,A,10,10,A
12ŒŽ17“ú,impossible,11,B,B,11,11,B
12ŒŽ18“ú,possible,12,C,C,12,12,C
12ŒŽ19“ú,impossible,13,D,D,13,13,D
12ŒŽ20“ú,possible,14,E,E,14,14,E
12ŒŽ21“ú,impossible,15,F,F,15,15,F
12ŒŽ22“ú,possible,16,G,G,16,16,G
12ŒŽ23“ú,impossible,17,H,H,17,17,H
12ŒŽ24“ú,possible,18,I,I,18,18,I
12ŒŽ25“ú,impossible,19,J,J,19,19,J
12ŒŽ26“ú,possible,20,K,K,20,20,K
12ŒŽ27“ú,impossible,21,L,L,21,21,L
12ŒŽ28“ú,possible,22,M,M,22,22,M
12ŒŽ29“ú,impossible,23,N,N,23,23,N
12ŒŽ30“ú,possible,24,O,O,24,24,O
12ŒŽ31“ú,impossible,25,P,P,25,25,P
1ŒŽ1“ú,possible,26,Q,Q,26,26,Q
1ŒŽ2“ú,impossible,27,R,R,27,27,R
1ŒŽ3“ú,possible,28,S,S,28,28,S
1ŒŽ4“ú,impossible,29,T,T,29,29,T
1ŒŽ5“ú,possible,30,U,U,30,30,U
1ŒŽ6“ú,impossible,31,V,V,31,31,V
1ŒŽ7“ú,possible,32,W,W,32,32,W
1ŒŽ8“ú,impossible,33,X,X,33,33,X
1ŒŽ9“ú,possible,1,Y,Y,1,1,Y
1ŒŽ10“ú,impossible,2,Z,Z,2,2,Z
1ŒŽ11“ú,possible,3,AA,AA,3,3,AA
1ŒŽ12“ú,impossible,4,AB,AB,4,4,AB
1ŒŽ13“ú,possible,5,AC,AC,5,5,AC
1ŒŽ14“ú,impossible,6,AD,AD,6,6,AD
1ŒŽ15“ú,possible,7,AE,AE,7,7,AE
1ŒŽ16“ú,impossible,8,AF,AF,8,8,AF
1ŒŽ17“ú,possible,9,AG,AG,9,9,AG
1ŒŽ18“ú,impossible,10,AH,AH,10,10,AH
1ŒŽ19“ú,possible,11,AI,AI,11,11,AI
1ŒŽ20“ú,impossible,12,AJ,AJ,12,12,AJ
1ŒŽ21“ú,possible,13,AK,AK,13,13,AK
1ŒŽ22“ú,impossible,14,AL,AL,14,14,AL
1ŒŽ23“ú,possible,15,A,A,15,15,A
1ŒŽ24“ú,impossible,16,B,B,16,16,B
1ŒŽ25“ú,impossible,16,Z,Z,16,16,L
1ŒŽ26“ú,possible,17,AA,AA,17,17,M
1ŒŽ27“ú,impossible,18,AB,AB,18,18,N
1ŒŽ28“ú,possible,19,AC,AC,19,19,O
1ŒŽ29“ú,impossible,20,AD,AD,20,20,P
1ŒŽ30“ú,possible,21,AE,AE,21,21,Q
1ŒŽ31“ú,impossible,22,AF,AF,22,22,R
2ŒŽ1“ú,possible,23,AG,AG,23,23,S
2ŒŽ2“ú,impossible,24,AH,AH,24,24,T
2ŒŽ3“ú,possible,25,AI,AI,25,25,U
2ŒŽ4“ú,impossible,26,AJ,AJ,26,26,V
2ŒŽ5“ú,possible,27,AK,AK,27,27,W
2ŒŽ6“ú,impossible,28,AL,AL,28,28,X
2ŒŽ7“ú,possible,29,A,A,29,29,Y
2ŒŽ8“ú,impossible,30,B,B,30,30,Z
2ŒŽ9“ú,possible,31,Z,Z,31,31,AA
2ŒŽ10“ú,impossible,32,AA,AA,32,32,AB
2ŒŽ11“ú,possible,33,AB,AB,33,33,AC
2ŒŽ12“ú,impossible,1,AC,AC,1,1,AD
2ŒŽ13“ú,possible,2,AD,AD,2,2,AE
2ŒŽ14“ú,impossible,3,AE,AE,3,3,AF
2ŒŽ15“ú,possible,4,AF,AF,4,4,AG
2ŒŽ16“ú,impossible,5,AG,AG,5,5,AH
2ŒŽ17“ú,possible,6,AH,AH,6,6,AI
2ŒŽ18“ú,impossible,7,AI,AI,7,7,AJ
2ŒŽ19“ú,possible,8,AJ,AJ,8,8,AK
2ŒŽ20“ú,impossible,9,AK,AK,9,9,AL
2ŒŽ21“ú,possible,10,AL,AL,10,10,A
2ŒŽ22“ú,impossible,11,A,A,11,11,B
2ŒŽ23“ú,possible,12,B,B,12,12,C
2ŒŽ24“ú,impossible,13,Z,Z,13,13,D
2ŒŽ25“ú,possible,14,AA,AA,14,14,E
2ŒŽ26“ú,impossible,15,AB,AB,15,15,F
2ŒŽ27“ú,possible,16,AC,AC,16,16,G
2ŒŽ28“ú,impossible,17,AD,AD,17,17,H
3ŒŽ1“ú,possible,18,AE,AE,18,18,I
3ŒŽ2“ú,impossible,19,AF,AF,19,19,J
3ŒŽ3“ú,possible,20,AG,AG,20,20,K
3ŒŽ4“ú,impossible,21,AH,AH,21,21,L
3ŒŽ5“ú,possible,22,AI,AI,22,22,M
3ŒŽ6“ú,impossible,23,AJ,AJ,23,23,N
3ŒŽ7“ú,possible,24,AK,AK,24,24,O
3ŒŽ8“ú,impossible,25,AL,AL,25,25,P
3ŒŽ9“ú,possible,26,A,A,26,26,Q
3ŒŽ10“ú,impossible,27,B,B,27,27,R
3ŒŽ11“ú,possible,28,Z,Z,28,28,S
3ŒŽ12“ú,impossible,29,AA,AA,29,29,T
3ŒŽ13“ú,possible,30,AB,AB,30,30,U
3ŒŽ14“ú,impossible,31,AC,AC,31,31,V
3ŒŽ15“ú,possible,32,AD,AD,32,32,W
3ŒŽ16“ú,impossible,33,AE,AE,33,33,X
3ŒŽ17“ú,possible,1,AF,AF,1,1,Y
3ŒŽ18“ú,impossible,2,AG,AG,2,2,Z
3ŒŽ19“ú,possible,3,AH,AH,3,3,AA
3ŒŽ20“ú,impossible,4,AI,AI,4,4,AB
3ŒŽ21“ú,possible,5,AJ,AJ,5,5,AC
3ŒŽ22“ú,impossible,6,AK,AK,6,6,AD
3ŒŽ23“ú,possible,7,AL,AL,7,7,AE
3ŒŽ24“ú,impossible,8,A,A,8,8,AF
3ŒŽ25“ú,possible,9,B,B,9,9,AG
3ŒŽ26“ú,impossible,10,Z,Z,10,10,AH
3ŒŽ27“ú,possible,11,AA,AA,11,11,AI
3ŒŽ28“ú,impossible,12,AB,AB,12,12,AJ
3ŒŽ29“ú,possible,13,AC,AC,13,13,AK
3ŒŽ30“ú,impossible,14,AD,AD,14,14,AL
